scenario,degrade,trial,pass,min_clearance,collisions,stop_entries,travel_m,states,failures,run_dir
bike_head_on,-,1,PASS,0.5046,0,2,8.870,SLOW_DOWN/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/bike_head_on_1_1785832444
bike_head_on,-,2,PASS,0.4353,0,2,8.929,SLOW_DOWN/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/bike_head_on_2_1785832593
bike_head_on,-,3,PASS,0.4301,0,2,8.852,SLOW_DOWN/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/bike_head_on_3_1785832740
bike_head_on,-,4,PASS,0.4594,0,3,8.849,SLOW_DOWN/STOP/WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/bike_head_on_4_1785832888
bike_head_on,-,5,PASS,0.4433,0,2,8.850,SLOW_DOWN/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/bike_head_on_5_1785833036
bike_head_on_4ms,-,1,PASS,0.4920,0,3,8.705,SLOW_DOWN/STOP/WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/bike_head_on_4ms_1_1785833185
bike_head_on_4ms,-,2,PASS,0.3988,0,2,8.746,SLOW_DOWN/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/bike_head_on_4ms_2_1785833333
bike_head_on_4ms,-,3,PASS,0.4466,0,1,8.509,SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/bike_head_on_4ms_3_1785833481
bike_head_on_4ms,-,4,PASS,0.4072,0,1,8.603,SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/bike_head_on_4ms_4_1785833629
bike_head_on_4ms,-,5,PASS,0.4229,0,3,8.794,SLOW_DOWN/STOP/WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/.claude/worktrees/phase3-5-l2-rebaseline/verification/runs/bike_head_on_4ms_5_1785833776
