scenario,degrade,trial,pass,min_clearance,collisions,stop_entries,travel_m,states,failures,run_dir
crossing,-,1,PASS,0.5369,0,2,4.507,SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/crossing_1_1783675156
crossing,-,2,PASS,0.6548,0,2,7.055,SLOW_DOWN/NOMINAL/STOP/WAIT/RESUME/NOMINAL/SLOW_DOWN/STUCK/NOMINAL/SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL/SLOW_DOWN,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/crossing_2_1783675264
crossing,-,3,PASS,0.7691,0,2,7.199,SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/crossing_3_1783675370
crossing,-,4,PASS,0.8540,0,4,5.377,SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL/SLOW_DOWN/STUCK/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/crossing_4_1783675475
crossing,-,5,PASS,0.8246,0,1,7.098,SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/crossing_5_1783675580
empty,-,1,FAIL,inf,0,0,5.963,SLOW_DOWN/STUCK/NOMINAL,travel 5.96m < 6.0m,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/empty_1_1783675686
empty,-,2,FAIL,inf,0,1,5.380,SLOW_DOWN/STUCK/NOMINAL/SLOW_DOWN/STOP/WAIT,stop_entries 1 > 0; travel 5.38m < 6.0m,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/empty_2_1783675759
empty,-,3,PASS,inf,0,0,6.043,SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/empty_3_1783675833
empty,-,4,FAIL,inf,0,1,6.077,SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL/SLOW_DOWN,stop_entries 1 > 0,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/empty_4_1783675910
empty,-,5,FAIL,inf,0,1,5.907,SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL/SLOW_DOWN,stop_entries 1 > 0; travel 5.91m < 6.0m,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/empty_5_1783675984
head_on,-,1,FAIL,0.1275,0,0,6.981,SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/STUCK,min_clearance 0.128 <= 0.15; state STOP never entered (saw SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/STUCK),/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/head_on_1_1783676058
head_on,-,2,PASS,0.3672,0,1,4.716,SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/STUCK/NOMINAL/SLOW_DOWN/STOP,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/head_on_2_1783676147
head_on,-,3,FAIL,0.1373,0,0,7.662,SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/STUCK/NOMINAL/SLOW_DOWN,min_clearance 0.137 <= 0.15; state STOP never entered (saw SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/STUCK/NOMINAL/SLOW_DOWN),/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/head_on_3_1783676241
head_on,-,4,PASS,0.3576,0,2,5.623,SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/NOMINAL/SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL/SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL/SLOW_DOWN/STUCK/NOMINAL/SLOW_DOWN,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/head_on_4_1783676332
