scenario,degrade,trial,pass,min_clearance,collisions,stop_entries,travel_m,states,failures,run_dir
bike_head_on,-,1,PASS,0.4179,0,4,8.485,STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_1_1784223705
bike_head_on,-,2,PASS,0.4268,0,7,8.262,STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_2_1784223771
bike_head_on,-,3,PASS,0.4568,0,1,9.010,SLOW_DOWN/NOMINAL/SLOW_DOWN/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_3_1784223836
bike_head_on,-,4,PASS,0.4823,0,2,8.744,SLOW_DOWN/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_4_1784223902
bike_head_on,-,5,PASS,0.4268,0,3,8.633,STOP/WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_5_1784223968
bike_head_on_4ms,-,1,PASS,0.3960,0,3,8.568,SLOW_DOWN/STOP/WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_4ms_1_1784224033
bike_head_on_4ms,-,2,PASS,0.4037,0,2,8.562,SLOW_DOWN/NOMINAL/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_4ms_2_1784224098
bike_head_on_4ms,-,3,PASS,0.3712,0,2,8.774,STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_4ms_3_1784224164
bike_head_on_4ms,-,4,PASS,0.4404,0,2,8.542,SLOW_DOWN/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_4ms_4_1784224231
bike_head_on_4ms,-,5,PASS,0.4224,0,3,8.553,SLOW_DOWN/NOMINAL/SLOW_DOWN/STOP/WAIT/STOP/WAIT/STOP/WAIT/RESUME/NOMINAL,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_head_on_4ms_5_1784224297
bike_pass,-,1,PASS,0.8354,0,0,9.857,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_pass_1_1784224364
bike_pass,-,2,PASS,0.9096,0,0,9.863,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_pass_2_1784224430
bike_pass,-,3,PASS,0.8564,0,0,9.829,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_pass_3_1784224495
bike_pass,-,4,PASS,0.8910,0,0,9.848,,,/home/sangw/unitree_go2_sidewalk_navigation/verification/runs/bike_pass_4_1784224560
